iter	RMSE
0	10.15000668
1	7.551107327
2	5.860810043
3	4.77156518
4	4.110139776
5	3.681441806
6	3.424185809
7	3.281843392
8	3.200308082
9	3.148006364
10	3.111852442
11	3.085896835
12	3.064330402
13	3.044353142
14	3.030444613
15	3.019066134
16	3.008119378
17	2.998036858
18	2.989395764
19	2.982940496
20	2.975712396
21	2.969903552
22	2.964686761
23	2.956921001
24	2.950467026
25	2.944441949
26	2.940039089
27	2.934809665
28	2.930870032
29	2.927132464
30	2.923451439
31	2.921404265
32	2.917393947
33	2.914390808
34	2.911276884
35	2.908818617
36	2.904975451
37	2.902843476
38	2.901090694
39	2.899652458
40	2.895545315
41	2.893085977
42	2.890396098
43	2.887430267
44	2.885636114
45	2.8826575
46	2.880252431
47	2.876768327
48	2.874553984
49	2.871455936
50	2.868918389
51	2.866812444
52	2.864703587
53	2.862200363
54	2.86018675
55	2.858590629
56	2.857572417
57	2.855352214
58	2.854250861
59	2.852389103
60	2.848704743
61	2.847289007
62	2.845480206
63	2.843358642
64	2.841365463
65	2.839679863
66	2.838255649
67	2.835797073
68	2.833752492
69	2.832776469
70	2.831380204
71	2.829272157
72	2.828603588
73	2.827377632
74	2.826338064
75	2.825290655
76	2.823550138
77	2.822301121
78	2.821793716
79	2.820825027
80	2.818757038
81	2.816966969
82	2.815104522
83	2.814028503
84	2.813028294
85	2.812423001
86	2.811474059
87	2.810512658
88	2.809885405
89	2.80872323
90	2.807448489
91	2.806755278
92	2.805707166
93	2.805200623
94	2.804664362
95	2.803600724
96	2.802888005
97	2.80220813
98	2.801728675
99	2.801365625
100	2.800825389
101	2.799705347
102	2.798785731
103	2.797933092
104	2.796528796
105	2.795650195
106	2.795086975
107	2.793460695
108	2.792719242
109	2.791868781
110	2.791017113
111	2.790316538
112	2.789284909
113	2.788277705
114	2.787425344
115	2.786728919
116	2.786248022
117	2.78564001
118	2.784783486
119	2.784447651
120	2.78387835
121	2.783746387
122	2.782981244
123	2.782383876
124	2.781245766
125	2.780632353
126	2.779734059
127	2.779106586
128	2.777884208
129	2.777373446
130	2.776883842
131	2.776153505
132	2.7748317
133	2.773469009
134	2.773158566
135	2.772343106
136	2.771875399
137	2.771645996
138	2.771384988
139	2.770908596
140	2.77027747
141	2.769113593
142	2.768824067
143	2.768344699
144	2.767995908
145	2.767784237
146	2.767193384
147	2.766693276
148	2.766074301
149	2.765217197
150	2.764803364
151	2.76453138
152	2.764169195
153	2.763565233
154	2.763359254
155	2.763032827
156	2.762902534
157	2.762407321
158	2.761431231
159	2.760873316
160	2.760316606
161	2.759672808
162	2.759245342
163	2.758735762
164	2.758364062
165	2.757986973
166	2.757670995
167	2.757367506
168	2.756413909
169	2.756020254
170	2.755506184
171	2.754832401
172	2.754270513
173	2.754023473
174	2.753853721
175	2.75357769
176	2.753273178
177	2.753001543
178	2.752642236
179	2.752255537
180	2.752008635
181	2.751488988
182	2.751423433
183	2.751020738
184	2.750110572
185	2.749661937
186	2.748869761
187	2.74827882
188	2.747761349
189	2.747231975
190	2.747055472
191	2.746140999
192	2.745753992
193	2.745468241
194	2.74515344
195	2.744843242
196	2.744597557
197	2.74430577
198	2.744052964
199	2.743625259
