iter	Passed	Remaining
0	1921	382393
1	3303	327093
2	4755	312276
3	6444	315759
4	7850	306157
5	9235	298626
6	10750	296404
7	12210	293051
8	13611	288864
9	15184	288505
10	16785	288398
11	18099	283564
12	19646	282601
13	21367	283881
14	22990	283543
15	24562	282466
16	26545	285759
17	28060	283727
18	29452	280577
19	31026	279241
20	32579	277703
21	34336	277811
22	35667	274484
23	36818	270000
24	37886	265202
25	39300	263010
26	40870	261872
27	42447	260749
28	43898	258849
29	45079	255447
30	46279	252296
31	47593	249868
32	49096	248460
33	50419	246168
34	51810	244250
35	53646	244387
36	55168	243039
37	56474	240760
38	58136	240000
39	59635	238541
40	61206	237363
41	62649	235680
42	64080	233967
43	65527	232325
44	67113	231169
45	69641	233149
46	71598	233077
47	73327	232204
48	75825	233666
49	78464	235392
50	80375	234821
51	82068	233578
52	83945	232830
53	85617	231484
54	87344	230272
55	88955	228742
56	90525	227108
57	91801	224756
58	93358	223109
59	94863	221347
60	96514	219927
61	98166	218498
62	99486	216342
63	101008	214642
64	102368	212612
65	103561	210261
66	105069	208570
67	106570	206873
68	107930	204911
69	109265	202921
70	110752	201225
71	112035	199174
72	113546	197539
73	115242	196223
74	116514	194191
75	117944	192435
76	119514	190912
77	121557	190128
78	123359	188942
79	125174	187762
80	126822	186319
81	128126	184376
82	129705	182837
83	131177	181149
84	132837	179721
85	134376	178126
86	135790	176371
87	137370	174834
88	138725	173017
89	140302	171481
90	141729	169764
91	143351	168282
92	144860	166667
93	146578	165290
94	148015	163596
95	149390	161840
96	150762	160087
97	152273	158488
98	153799	156906
99	155265	155265
100	156777	153672
101	158111	151911
102	159477	150187
103	160862	148488
104	162254	146801
105	163613	145091
106	165017	143426
107	166321	141681
108	167999	140256
109	169399	138599
110	170751	136909
111	172471	135513
112	173933	133913
113	175428	132340
114	177130	130922
115	178788	129467
116	180322	127921
117	182269	126661
118	183755	125076
119	185346	123564
120	187056	122128
121	188659	120618
122	190153	119039
123	191653	117465
124	193280	115968
125	194595	114286
126	195959	112638
127	197187	110918
128	198404	109199
129	199871	107623
130	201358	106059
131	202696	104419
132	204011	102772
133	205432	101183
134	206892	99614
135	208367	98055
136	210130	96629
137	211797	95155
138	213873	93858
139	215484	92350
140	217055	90824
141	218524	89256
142	220406	87854
143	221945	86312
144	223821	84897
145	225599	83441
146	227571	82049
147	229367	80588
148	231294	79167
149	232785	77595
150	234406	76065
151	236259	74608
152	237964	73100
153	239392	71506
154	241136	70007
155	242781	68476
156	244553	66979
157	246127	65426
158	247537	63830
159	249039	62259
160	250565	60695
161	252085	59131
162	253282	57493
163	254510	55868
164	256014	54306
165	257216	52682
166	258805	51141
167	260283	49577
168	261452	47958
169	262818	46379
170	263943	44762
171	265231	43177
172	266528	41596
173	267787	40014
174	269155	38450
175	270513	36888
176	271946	35337
177	273348	33784
178	274612	32217
179	276053	30672
180	277342	29113
181	278587	27552
182	280232	26032
183	281806	24504
184	283178	22960
185	284997	21451
186	286881	19943
187	288518	18416
188	290010	16878
189	291564	15345
190	293040	13808
191	294318	12263
192	295704	10725
193	297091	9188
194	298577	7655
195	299843	6119
196	301157	4586
197	302786	3058
198	304249	1528
199	305836	0
